license_id,brand_name,original_ingredient,normalized_ingredient,synonyms,drugbank_id,mapped
200807044,쿠티아핀정200밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807045,카세핀정25밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807051,네오리진정(레보세티리진염산염)(수출용),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200807052,레보세린액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200807058,알싹정(알벤다졸),ALBENDAZOLE,ALBENDAZOLE,,DB00518,True
200807061,펜디예뜨정(펜디메트라진타르타르산염),PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,,DB01579,True
200807063,셀레나제100마이크로그램프로주사(아셀렌산나트륨오수화물),SODIUM SELENITE PENTAHYDRATE,SODIUM SELENITE PENTAHYDRATE,,,False
200807066,하이든플러스정 80/12.5밀리그램,VALSARTAN,VALSARTAN,,DB00177,True
200807067,코디오르탄정160/12.5밀리그램,VALSARTAN,VALSARTAN,,DB00177,True
200807068,코디오르탄정80/12.5밀리그램,VALSARTAN,VALSARTAN,,DB00177,True
200807090,디로탄플러스정,VALSARTAN,VALSARTAN,,DB00177,True
200807091,시알리스정5밀리그램(타다라필),TADALAFIL,TADALAFIL,,DB00820,True
200807127,아지탑스주사500밀리그램(아지트로마이신수화물),AZITHROMYCIN HYDRATE,AZITHROMYCIN HYDRATE,,,False
200807131,히알라프주(히알루로니다제),HYALURONIDASE,HYALURONIDASE,,DB14740,True
200807145,디옥타현탁액(디옥타헤드랄스멕타이트),DIOCTAHEDRAL SMECTITE,DIOCTAHEDRAL SMECTITE,,,False
200807146,포리지질연질캡슐,NEOMYCIN SULFATE,NEOMYCIN SULFATE,,DB00994,True
200807155,히알로제주(히알루로니다제),HYALURONIDASE,HYALURONIDASE,,DB14740,True
200807156,발미탄정,VALSARTAN,VALSARTAN,,DB00177,True
200807169,히스탄에프정24mg(베타히스틴염산염),BETAHISTINE HYDROCHLORIDE,BETAHISTINE HYDROCHLORIDE,,DB06698,True
200807171,탐스루신캡슐(탐스로신염산염),TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,,DB00706,True
200807172,카리토포텐연질캡슐(쿠쿠르비트종자유엑스(15~25→1)),PUMPKIN SEED OILY EXTRACT,PUMPKIN SEED OILY EXTRACT,,,False
200807187,브이반플러스정80.0/12.5밀리그램,VALSARTAN,VALSARTAN,,DB00177,True
200807203,디큐반정160mg(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200807204,맥스디오정160mg(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200807205,칸데모어정8밀리그램(칸데사르탄실렉세틸),CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,,DB00796,True
200807207,멜리안정,GESTODENE,GESTODENE,,DB06730,True
200807208,필로겐정(필로카르핀염산염),PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,,DB01085,True
200807210,올핀정5mg/20mg,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,DB01076,True
200807211,올핀정5mg/10mg,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,DB01076,True
200807223,스토프정,GERANIUM HERB POWDER,GERANIUM HERB POWDER,,,False
200807225,디페트정100mg(디클로페낙나트륨)(수출용),DICLOFENAC SODIUM,DICLOFENAC SODIUM,,DB00586,True
200807229,카로디엣정5mg/20mg,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,DB01076,True
200807230,카로디엣정5mg/10mg,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,DB01076,True
200807233,레보코트액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200807239,아마프로겔3%(케토프로펜),KETOPROFEN,KETOPROFEN,,DB01009,True
